Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Decade,Primary_Genre,Rating_Band
Garibon Ka Daata,2002,118,Thriller,,,Kishan Shah,Satnam Kaur,Anil Nagrath,Amit Pachori,2000,Thriller,
Garjjanam,2009,129,"Action, Crime, Drama",4.5,12,V.V. Ramana,Tottempudi Gopichand,Bhavana,Ashish Vidyarthi,2000,Action,Average (4–6)
Garm Hava,1974,146,Drama,8.1,689,M.S. Sathyu,Balraj Sahni,A.K. Hangal,Gita Siddharth,1970,Drama,Excellent (8–10)
Garma Garam,2005,120,"Drama, Thriller",,,S.K. Prasad,Suchi Kumar,Rahul Manchanda,Trishna Pritam,2000,Drama,
Gateway of India,1957,129,"Comedy, Crime, Drama",7.2,43,J. Om Prakash,Bharat Bhushan,Pradeep Kumar,Madhubala,1950,Comedy,Good (6–8)
Gattu,2011,90,Drama,7.3,398,Rajan Khosa,Naresh Sharma,Mohammad Samad,Jayanta Das,2010,Drama,Good (6–8)
Gauhar,1953,129,Family,,,Bina Rai,Rehman,Unknown,Unknown,1950,Family,
Gauna,1950,129,Drama,,,Amiya Chakrabarty,Usha Kiran,Wasti,Anoop Kumar,1950,Drama,
Gauraiya,2014,125,Crime,7.0,64,Rajesh Hans,Karamaveer Chaudhary,Karamveer Choudhary,Vijay Jora,2010,Crime,Good (6–8)
Gaurav Gupta: Market Down Hai,2021,50,Comedy,7.5,226,Neville Shah,Gaurav Gupta,Unknown,Unknown,2020,Comedy,Good (6–8)
Gauri,1968,152,"Drama, Family",6.5,40,A. Bhimsingh,Sunil Dutt,Nutan,Sanjeev Kumar,1960,Drama,Good (6–8)
Gauri Puja,1956,129,Fantasy,,,Vinod Desai,Abhi Bhattacharya,Yashodra Katju,Lalita Pawar,1950,Fantasy,
Gauri Shankar,1958,150,Unknown,,,Raja Nene,Jeevan,Trilok Kapoor,Sulochana Latkar,1950,Unknown,
Gauri: The Unborn,2007,98,"Drama, Horror, Thriller",3.5,109,Aku Akbar,Mohan Azaad,Anupam Kher,Atul Kulkarni,2000,Drama,Poor (<4)
Gauru: Journey of Courage,2016,124,Family,8.8,85,Ramkishan Choyal,Jahangir Khan,Vedshree Rao,Ila Arun,2010,Family,Excellent (8–10)
Gautam Govinda,2002,119,Action,2.7,11,Gautam Verma,Ishrat Ali,Mithun Chakraborty,Pinky Chinoy,2000,Action,Poor (<4)
Gautama the Buddha,1967,129,Documentary,7.4,9,Bimal Roy,Unknown,Unknown,Unknown,1960,Documentary,Good (6–8)
Gawaah,1979,129,Thriller,,,A. Salaam,Ajit,Hiralal,Kamal Kapoor,1970,Thriller,
Gawaahi,1989,111,Mystery,5.6,36,Anant Balani,Zeenat Aman,Vikram Gokhale,Ashutosh Gowariker,1980,Mystery,Average (4–6)
Gawaiya,1954,129,"Drama, Family, Musical",,,H.P. Sharma,Surendra,Sulochana Latkar,Jeevan,1950,Drama,
Gayab,2004,138,"Drama, Fantasy, Thriller",4.2,781,Prawaal Raman,Tusshar Kapoor,Antara Mali,Raghuvir Yadav,2000,Drama,Average (4–6)
Gayatri Mahima,1977,129,Fantasy,,,Harsukh Jagneshwar Bhatt,Bharat Bhushan,Jayshree Gadkar,Ashish Kumar,1970,Fantasy,
Gazi Diler,1936,129,Unknown,,,Navinchandra,Unknown,Unknown,Unknown,1930,Unknown,
Geet,1992,151,Drama,5.9,56,Partho Ghosh,Avinash Wadhawan,Divya Bharti,Laxmikant Berde,1990,Drama,Average (4–6)
Geet Aur Aansoo,1968,129,Romance,,,Unknown,Unknown,Unknown,Unknown,1960,Romance,
Geet Gaata Chal,1975,130,"Comedy, Drama, Family",6.9,108,Hiren Nag,Sachin Pilgaonkar,Sarika,Urmila Bhatt,1970,Comedy,Good (6–8)
Geet Gaaya Pattharon Ne,1964,129,"Drama, Musical, Romance",6.4,92,Shantaram Rajaram Vankudre,Jeetendra,Rajshree,Bharathi,1960,Drama,Good (6–8)
Geet Ganga,1982,138,Drama,,,B.S. Thapa,Bindu,Arun Govil,Jeevan,1980,Drama,
Geet Govind,1947,129,Unknown,,,David Abraham,Unknown,Unknown,Unknown,1940,Unknown,
Geet Mere Pyar Ka,1986,129,Romance,,,Jyothi,Asha Sharma,Hari Shukla,Anjan Srivastav,1980,Romance,
Geet Milan Ke Gaate Rehenge,1992,129,Romance,,,Qamar Haji Puri,Narendra Bedi,Mohan Choti,Dilip Dhawan,1990,Romance,
Geeta,1940,164,Unknown,,,Parshwanath Yeshwant Altekar,Chandra Mohan,Durga Khote,Anant Marathe,1940,Unknown,
Geeta Bani Geet,1978,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1970,Drama,
Geeta Ki Saugandh,1988,129,Action,,,Reetu Raaj,Rajni Bala,Hemant Birje,Jamuna,1980,Action,
Geeta Mera Naam,2000,93,Action,,,R. Mittal,Rajesh Mittal,Ramesh Goyal,Goga Kapoor,2000,Action,
Geetaa Mera Naam,1974,129,"Action, Drama, Thriller",6.9,57,Sadhana,Sunil Dutt,Sadhana,Feroz Khan,1970,Action,Good (6–8)
Geetanjali,1993,150,Drama,6.0,45,Shakti Samanta,Jeetendra,Rekha,Vijay Arora,1990,Drama,Average (4–6)
Geheraye,1954,129,Drama,,,Unknown,Unknown,Unknown,Unknown,1950,Drama,
Gehra Daag,1963,129,"Crime, Drama, Romance",7.1,27,O.P. Ralhan,Rajendra Kumar,Mala Sinha,Madan Puri,1960,Crime,Good (6–8)
Gehra Raaz,1971,129,"Action, Mystery, Sci-Fi",,,Niranjan,Sheikh Mukhtar,Sujit Kumar,Sofia,1970,Action,
Gehra Zakhm,1981,129,"Drama, Family",,,Deepak Bahry,Vinod Mehra,Ranjeeta Kaur,Amjad Khan,1980,Drama,
Gehrayee,1980,135,"Drama, Horror",6.8,148,Vikas Desai,Aruna Raje,Shreeram Lagoo,Anant Nag,1980,Drama,Good (6–8)
Gehri Chaal,1973,147,"Action, Crime, Thriller",5.4,127,C.V. Sridhar,Jeetendra,Hema Malini,Amitabh Bachchan,1970,Action,Average (4–6)
Gehri Chaal: The Final Move,2005,129,Thriller,,,Unknown,Unknown,Unknown,Unknown,2000,Thriller,
"Gehu, Ganna aur Gun",,129,Unknown,,,Sherlyn Chopra,Unknown,Unknown,Unknown,,Unknown,
Gemeni,2002,129,Action,6.2,6,Venkatesh Daggubati,Kalabhavan Mani,Namitha,Unknown,2000,Action,Good (6–8)
Gemini,2002,150,"Action, Comedy, Crime",6.1,910,Saran,Vikram,Kiran Rathod,Kalabhavan Mani,2000,Action,Good (6–8)
Genesis,1986,105,Drama,6.7,113,Mrinal Sen,Shabana Azmi,Naseeruddin Shah,Om Puri,1980,Drama,Good (6–8)
Genius,2018,165,"Action, Thriller",5.3,1823,Anil Sharma,Utkarsh Sharma,Ishita Chauhan,Mithun Chakraborty,2010,Action,Average (4–6)
Gentleman,1989,139,"Comedy, Crime, Musical",4.9,42,Vinod K. Verma,Govinda,Anuradha Patel,Shakti Kapoor,1980,Comedy,Average (4–6)
Gentleman Daku,1960,129,Action,,,A. Shamsheer,Kamran,Shyam Kumar,Naazi,1960,Action,
Geraftaar,1985,167,"Action, Drama",6.1,435,Prayag Raj,Kamal Haasan,Poonam Dhillon,Madhavi,1980,Action,Good (6–8)
Get to the Sun,,129,"Animation, Action, Adventure",,,Prashast Singh,Prashast Singh,Unknown,Unknown,,Animation,
Ghaath,2000,129,"Crime, Drama, Thriller",4.7,141,Akashdeep,Manoj Bajpayee,Tabu,Om Puri,2000,Crime,Average (4–6)
Ghaav: The Wound,2002,129,"Action, Crime, Drama",5.4,16,Kumar Jay,Pankaj Berry,Rahul Bhatt,Seema Biswas,2000,Action,Average (4–6)
Ghabrahat,1989,129,Horror,,,Kumar Bhatia,Dan Dhanoa,Satyendra Kapoor,Kiran Kumar,1980,Horror,
Ghajini,2008,186,"Action, Drama, Mystery",7.3,57604,A.R. Murugadoss,Aamir Khan,Asin Thottumkal,Jiah Khan,2000,Action,Good (6–8)
Ghajini Returns,2009,129,Action,,,Vishwa Naidu,Unknown,Unknown,Unknown,2000,Action,
Ghajni,1943,129,Drama,,,Master Vinayak,Unknown,Unknown,Unknown,1940,Drama,
Ghamand,1955,129,Unknown,,,Dharam Kumar,Raaj Kumar,Kamal Mehra,Murad,1950,Unknown,
Ghamandee,1981,129,Drama,4.8,13,Ramesh Bedi,Mithun Chakraborty,Chandrashekhar,Leena Das,1980,Drama,Average (4–6)
Ghamasaan,2008,141,Action,,,Dinesh Chaudhary,Rajender Kashyap,Uttar Kumar,Taanya,2000,Action,
Ghanchakkar,2013,137,"Comedy, Crime, Thriller",5.8,4797,Raj Kumar Gupta,Emraan Hashmi,Vidya Balan,Rajesh Sharma,2010,Comedy,Average (4–6)
Ghanta Chori Ho Gaya,2017,120,Comedy,,,Nirbhay Chaudhary,Nimai Bali,Shahbaaz Khan,Raghvendra Tiwari,2010,Comedy,
Ghanta the mystery bell,2020,111,Comedy,,,Dinesh Kunder,Naveen Chaturvedi,Nikita Chhabariya,Amanpreet Satija,2020,Comedy,
Ghar,1945,129,Unknown,,,V.M. Vyas,Iftekhar,Nawab,Unknown,1940,Unknown,
Ghar Aakir Ghar Hai,1988,120,Unknown,,,Pawan Kuman,Sudhir Dalvi,Javed Khan,Neelam Mehra,1980,Unknown,
Ghar Aaya Mera Pardesi,1993,129,"Drama, Adventure, Action",4.7,13,Ravindra Peepat,Avinash Wadhawan,Varsha Usgaonkar,Bhagyashree,1990,Drama,Average (4–6)
Ghar Basake Dekho,1963,139,"Comedy, Drama",5.8,16,Kishore Sahu,Manoj Kumar,Sudesh Kumar,Randhir,1960,Comedy,Average (4–6)
Ghar Bazar,1998,130,"Action, Crime, Drama",4.4,10,D.S. Azad,Shekhar Suman,Natasha Shailendra,Sharmila Tagore,1990,Action,Average (4–6)
Ghar Damad,2017,129,Comedy,,,Lv Siva,Gullu Dada,Farukh Khan,Peerti Nigam,2010,Comedy,
Ghar Dwaar,1985,153,Drama,7.1,42,Kalpataru,Tanuja,Sachin Pilgaonkar,Raj Kiran,1980,Drama,Good (6–8)
Ghar Ek Mandir,1988,155,Drama,,,Chandrakant Sangani,Unknown,Unknown,Unknown,1980,Drama,
Ghar Ghar Ki Baat,1959,129,"Drama, Family",,,Ravindra Dave,Azra,Minoo Mumtaz,Suresh,1950,Drama,
Ghar Ghar Ki Kahani,1947,129,"Drama, Family",,,Leela Chitnis,S.B. Nayampalli,Unknown,Unknown,1940,Drama,
Ghar Ghar Mein Diwali,1955,129,"Crime, Drama, Mystery",,,Gajanan Jagirdar,Gajanan Jagirdar,Shyama,Sajjan,1950,Crime,
Ghar Grihasti,2004,142,"Drama, Family",4.0,130,Mahesh Tillekar,Aishwarya Narkar,Sulabha Arya,Sajid Sheikh,2000,Drama,Poor (<4)
Ghar Ho To Aisa,1990,155,Drama,6.0,360,Kalpataru,Anil Kapoor,Meenakshi Sheshadri,Raj Kiran,1990,Drama,Average (4–6)
Ghar Jamai,1935,155,Unknown,,,Homi Master,Heera,Noor Jehan,Amoo,1930,Unknown,
Ghar Ka Chiraag,1989,158,Drama,5.9,65,Sikander Bharti,Rajesh Khanna,Neelam Kothari,Chunky Panday,1980,Drama,Average (4–6)
Ghar Ka Chirag,1967,157,Drama,6.6,13,Jagdev Bhambri,Abhi Bhattacharya,Biswajit Chatterjee,Dharmendra,1960,Drama,Good (6–8)
Ghar Ka Kanoon,1995,129,Drama,,,Anamika,Rakesh Bedi,Suraj Chaddha,A.K. Hangal,1990,Drama,
Ghar ka Raakshas by Deep Jyoti,2018,129,Comedy,,,Ranjan Mistry,Deep Jyoti,Unknown,Unknown,2010,Comedy,
Ghar Ka Sukh,1987,94,"Drama, Family",6.6,11,Kalpataru,Shoma Anand,Bharat Bhushan,Sudhir Dalvi,1980,Drama,Good (6–8)
Ghar Ki Bahu,1947,129,Unknown,,,G.K. Devare,N.G. Devare,Unknown,Unknown,1940,Unknown,
Ghar Ki Izzat,1994,129,"Comedy, Drama",4.7,57,Kalpataru,Jeetendra,Rishi Kapoor,Anita Raj,1990,Comedy,Average (4–6)
Ghar Ki Laaj,1960,129,"Drama, Family",3.8,5,V.M. Vyas,Sohrab Modi,Feroz Khan,Nirupa Roy,1960,Drama,Poor (<4)
Ghar Ki Lakshmi,1931,129,Unknown,,,Kanjibhai Rathod,Ghaznavi,Rampiary,Unknown,1930,Unknown,
Ghar Ki Laxmi,1990,129,Unknown,,,Kalpana Divan,Anand Raj,Rajshri,Kirti Rawal,1990,Unknown,
Ghar Ki Rani,1940,161,Unknown,,,Master Vinayak,Master Vinayak,Meenaxi,Baburao Pendharkar,1940,Unknown,
Ghar Ki Shobha,1944,129,Unknown,,,Harshadrai Sakerlal Mehta,Ramesh Saigal,Unknown,Unknown,1940,Unknown,
Ghar Mein Ho Sali To Pura Saal Diwali,2001,129,Comedy,,,Sanjeevani Gupta,Anil Nagrath,Amit Pachori,Aman Sagar,2000,Comedy,
Ghar Mein Raam Gali Mein Shyam,1996,129,Comedy,5.3,12,Venkatesh Daggubati,Soundarya,Vineetha,Unknown,1990,Comedy,Average (4–6)
Ghar Mein Ram Gali Mein Shyam,1988,136,"Drama, Family, Action",4.7,43,Subhash Sonik,Beena Banerjee,Rita Bhaduri,Govinda,1980,Drama,Average (4–6)
Ghar Pardes,2009,129,"Drama, Musical",,,Vimal Reddy,Duong Do,Pritash Dutt,Anila Kumar,2000,Drama,
Ghar Parivaar,1991,129,Drama,4.9,38,Mohanji Prasad,Rajesh Khanna,Rishi Kapoor,Raj Kiran,1990,Drama,Average (4–6)
Ghar Pe Bataao,2021,72,Drama,7.6,43,Neshu Saluja,Saurabh Goyal,Priyanka Sonawane Hedau,Unknown,2020,Drama,Good (6–8)
Ghar Sansar,1958,129,"Drama, Family",6.8,21,V.M. Vyas,Balraj Sahni,Nargis,Rajendra Kumar,1950,Drama,Good (6–8)
Gharaksharangal,2000,129,Drama,,,Salim Padiyath,Unknown,Unknown,Unknown,2000,Drama,
Gharana,1989,129,Drama,5.3,70,K. Ravi Shankar,Shreeram Lagoo,Tanuja,Rishi Kapoor,1980,Drama,Average (4–6)
Gharaonda,1977,141,"Drama, Romance",6.9,196,Bhimsain,Amol Palekar,Zarina Wahab,Sadhu Meher,1970,Drama,Good (6–8)
Gharbaar,1953,129,Unknown,,,Dinkar D. Patil,Unknown,Unknown,Unknown,1950,Unknown,
Gharibi Hatao,1973,129,Drama,,,Anita Guha,Padma Khanna,Murad,Narendra Nath,1970,Drama,
Gharwali Baharwali,1988,129,Family,4.3,9,Sripathi Panditharadhyula Rajaram,Farooq Shaikh,Anuradha Patel,Kim,1980,Family,Average (4–6)
Ghashiram Kotwal,1976,108,"Biography, History",6.7,71,K. Hariharan,Mani Kaul,Saeed Akhtar Mirza,Kamal Swaroop,1970,Biography,Good (6–8)
Ghat Ghat Ka Paani,2017,68,Documentary,7.8,9,Akash Shukla,Unknown,Unknown,Unknown,2010,Documentary,Good (6–8)
Ghat: The Hill Station,2007,100,Horror,,,Wilson Louis,Zachary Coffin,Nilesh Divekar,Elena,2000,Horror,
Ghatak: Lethal,1996,158,"Action, Drama",7.4,3326,Rajkumar Santoshi,Sunny Deol,Meenakshi Sheshadri,Danny Denzongpa,1990,Action,Good (6–8)
Ghatna,1974,129,Thriller,,,Mahesh Shandilya,Danny Denzongpa,Jankidas,Anjali Kadam,1970,Thriller,
Ghatothkach,2008,91,"Animation, Family",6.9,55,Singeetam Srinivasa Rao,Sunidhi Chauhan,Shreya Ghoshal,Mahalakshmi Iyer,2000,Animation,Good (6–8)
Ghatotkachudu,1995,129,"Comedy, Drama, Fantasy",7.0,100,S.V. Krishna Reddy,Ranga Rao Kurra,Satyanarayana Kaikala,Roja,1990,Comedy,Good (6–8)
Ghayal,1990,163,"Action, Crime, Drama",7.6,4114,Rajkumar Santoshi,Sunny Deol,Amrish Puri,Meenakshi Sheshadri,1990,Action,Good (6–8)
Ghayal Once Again,2016,127,"Action, Crime, Drama",6.3,4960,Sunny Deol,Sunny Deol,Soha Ali Khan,Om Puri,2010,Action,Good (6–8)
Ghayal Sherni,1988,129,"Action, Crime, Thriller",5.4,11,K. Bapaiah,Aruna,Jayanthi,Satyanarayana Kaikala,1980,Action,Average (4–6)
Ghazab,1982,162,"Action, Comedy, Drama",6.8,137,C.P. Dixit,Seema Deo,Dharmendra,Krishan Dhawan,1980,Action,Good (6–8)
Ghazab Tamasha,1992,144,"Comedy, Romance",5.4,27,Ranjeet,Rahul Roy,Anu Agrawal,Tanuja,1990,Comedy,Average (4–6)
Ghazal,1985,129,Drama,,,Rehman Naushad,Shoma Anand,Sunil Dhawan,Iftekhar,1980,Drama,
Ghera Ghaav,2002,129,Action,,,Uday Kiran,Anita Hassanandani Reddy,Ashish Vidyarthi,Unknown,2000,Action,
Gho Gho Rani,2019,105,"History, Romance",9.4,47,Munni Pankaj,Nishi Neha Mishra,Pankaj Kamal,Akash Kumar,2010,History,Excellent (8–10)
Ghoomketu,2020,108,Comedy,5.5,2708,Pushpendra Nath Misra,Nawazuddin Siddiqui,Ragini Khanna,Richa Chadha,2020,Comedy,Average (4–6)
Ghoonghat,1997,120,"Action, Comedy, Drama",5.4,27,Chinni Prakash,Inder Kumar,Ayesha Jhulka,Arun Bakshi,1990,Action,Average (4–6)
Ghost,2019,130,"Horror, Thriller",5.0,1288,Vikram Bhatt,Sanaya Irani,Shivam Bhaargava,Vikram Bhatt,2010,Horror,Average (4–6)
Ghost Stories,2020,144,"Horror, Thriller",4.3,4620,Zoya Akhtar,Dibakar Banerjee,Karan Johar,Anurag Kashyap,2020,Horror,Average (4–6)
Ghost Story - An Abstract Film,2020,129,Horror,8.4,8,Zubair Khan,Farrah Kader,Samidha Kiran,Aabid Shamim,2020,Horror,Excellent (8–10)
Ghubar,2022,129,"Crime, Mystery",,,Swaminathan Sridhar,Vijay Kumar,Vivek Pandey,Jitendra Rana,2020,Crime,
Ghulam,1998,162,"Action, Crime, Drama",7.3,10997,Vikram Bhatt,Aamir Khan,Rani Mukerji,Rajit Kapoor,1990,Action,Good (6–8)
Ghulam Begam Badshah,1973,123,"Drama, Family",6.2,8,Jambulingam,Shatrughan Sinha,Anil Dhawan,Moushumi Chatterjee,1970,Drama,Good (6–8)
Ghulam Begum Badshah,1956,124,"Drama, History",6.6,5,Jugal Kishore,Daljeet,Malika,Nishi,1950,Drama,Good (6–8)
Ghulam-E-Musthafa,1997,162,"Action, Crime, Drama",6.6,1120,Partho Ghosh,Nana Patekar,Raveena Tandon,Paresh Rawal,1990,Action,Good (6–8)
Ghulami,1945,129,Unknown,,,Mohan Wadhwani,David Abraham,Mumtaz Begum,Renuka Devi,1940,Unknown,
Ghunghat,1946,129,Unknown,,,Arun,Nirmala Devi,Leela Mishra,Unknown,1940,Unknown,
Ghunghatwali,1938,129,Unknown,,,Kanjibhai Rathod,Ansuya,Unknown,Unknown,1930,Unknown,
Ghungroo,1983,129,"Drama, Family",5.7,47,Ram P. Sethi,Smita Patil,Shashi Kapoor,Kunal Goswami,1980,Drama,Average (4–6)
Ghungroo Ki Awaaz,1981,138,"Mystery, Thriller",6.3,34,Shyam Ramsay,Tulsi Ramsay,Vijay Anand,Rekha,1980,Mystery,Good (6–8)
Ghutan,2007,126,Horror,4.9,51,Shyam Ramsay,Aryan Vaid,Tarun Arora,Pooja Bharti,2000,Horror,Average (4–6)
Giddh: The Vulture,1984,103,Drama,6.8,64,T.S. Ranga,Om Puri,Smita Patil,Nana Patekar,1980,Drama,Good (6–8)
Gilli Gilli Atta,2005,129,Comedy,,,Pankaj Parashar,Mukesh Ahuja,Mreenal Deshraj,Abbas Khandwala,2000,Comedy,
Gimbago the Dark Knight,2017,129,Horror,,,Vijay Kumar,Unknown,Unknown,Unknown,2010,Horror,
Ginny Aur Johnny,1976,129,"Comedy, Drama, Family",7.3,84,Mehmood,Mehmood,Baby Ginni,Amjad Khan,1970,Comedy,Good (6–8)
Ginny Weds Sunny,2020,125,"Comedy, Drama, Romance",5.7,3872,Puneet Khanna,Yami Gautam,Vikrant Massey,Ayesha Raza,2020,Comedy,Average (4–6)
Gippi,2013,95,"Comedy, Drama",5.6,790,Sonam Nair,Acchui,Anjali,Faraz Ansari,2010,Comedy,Average (4–6)
Gipsy Sunset,2016,129,"Drama, Thriller",,,Kavi Raz,Alberto Lee,Consuelo Vega,John Idakitis,2010,Drama,
Giraft,1992,129,Thriller,,,S.U. Syed,Shagufta Ali,Hemant Birje,Mukesh Khanna,1990,Thriller,
Giraftaari,1991,129,Action,5.4,10,Priyadarshan,Amala Akkineni,Nagarjuna Akkineni,Sharat Saxena,1990,Action,Average (4–6)
Girdhar Gopal Ki Mira,1949,129,Unknown,,,Prafulla Roy,Arunadan,Arun Das,Kamala Jharia,1940,Unknown,
Giribala,1947,129,Unknown,,,Unknown,Unknown,Unknown,Unknown,1940,Unknown,
Girl Friend,1960,129,Romance,7.7,6,Satyen Bose,Kishore Kumar,Waheeda Rehman,Nasir Hussain,1960,Romance,Good (6–8)
Girl from Fiji,2007,129,Romance,,,Vishwa Naidu,Unknown,Unknown,Unknown,2000,Romance,
Girlfriend,2004,126,Drama,3.2,344,Karan Razdan,Isha Koppikar,Aashish Chaudhary,Amrita Arora,2000,Drama,Poor (<4)
Girls' Hostel,1962,129,Drama,4.4,9,Ravindra Dave,Ajit,Nalini Jaywant,Johnny Walker,1960,Drama,Average (4–6)
Girls' School,1949,154,Unknown,,,Amiya Chakrabarty,Geeta Bali,Mangla,Sajjan,1940,Unknown,
Glamour Girl,2000,123,Crime,2.1,23,Rakesh Bedi,Kishore Anand Bhanushali,Dolly Bindra,Poonam Dasgupta,2000,Crime,Poor (<4)
Glimpse of Bihar Mahila Udyog Mela,2020,129,Documentary,,,Devendra Chaudhary,Ranjan Mistry,Ambuj Prasoon,Unknown,2020,Documentary,
Global Baba,2016,120,Thriller,5.6,184,Manoj Shidheshwari Tiwari,Pankaj Tripathi,Sandeepa Dhar,Abhimanyu Singh,2010,Thriller,Average (4–6)
Go,2007,110,"Crime, Drama, Romance",2.7,144,Manish Srivastav,Gautam Gupta,Priyanka Kothari,Kay Kay Menon,2000,Crime,Poor (<4)
Go Goa Gone,2013,111,"Action, Adventure, Comedy",6.7,11942,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Kunal Khemu,2010,Action,Good (6–8)
Go Goa Gone 2,,129,"Action, Adventure, Comedy",,,Krishna D.K.,Raj Nidimoru,Saif Ali Khan,Radhika Madan,,Action,
Goa Dalli CID 999,1968,145,"Crime, Thriller",8.1,76,Dhorairaj Bhagavan,Rajkumar,Sabitha Perara,Lakshmi,1960,Crime,Excellent (8–10)
Goatbait,2018,129,Drama,,,Nikhil Bose,Prashansa Sharma,Vikas Rawat,Lakshyraj Rathod,2010,Drama,
Gobar,,129,Drama,,,Sabal Singh Shekhawat,Unknown,Unknown,Unknown,,Drama,
God and Gun,1995,129,Drama,5.1,27,Esmayeel Shroff,Raaj Kumar,Jackie Shroff,Gautami,1990,Drama,Average (4–6)
God Children,2019,72,Documentary,,,Reshel Shah,Unknown,Unknown,Unknown,2010,Documentary,
God of gods,2019,90,Documentary,9.3,46,Venkatesh Bk,Tejaswini Manogna,Triyug Mantri,Raj Singh Verma,2010,Documentary,Excellent (8–10)
God Only Knows!,2007,129,Comedy,5.6,54,Bharat Dabholkar,Anjan Srivastav,Dilip Prabhavalkar,Viju Khote,2000,Comedy,Average (4–6)
God Tussi Great Ho,2008,152,"Comedy, Drama, Fantasy",3.6,3998,Rumi Jaffery,Amitabh Bachchan,Salman Khan,Priyanka Chopra Jonas,2000,Comedy,Poor (<4)
Godaam,2020,129,Drama,,,Akksar Allahabadi,Akhil Gaurav Singh,Bipin Panigrahi,Babli,2020,Drama,
Godaan,1963,110,Drama,7.0,58,Trilok Jetley,Raaj Kumar,Kamini Kaushal,Shashikala,1960,Drama,Good (6–8)
Godam,1983,140,Drama,7.1,37,Dilip Chitre,Satyadev Dubey,Madan Jain,Achyut Potdar,1980,Drama,Good (6–8)
Godhra Tak: The Terror Trail,2003,60,Documentary,,,Shubhradeep Chakravorty,Unknown,Unknown,Unknown,2000,Documentary,
Godknows,2016,83,Romance,,,Rajdutt Revankar,Rajdutt Revankar,Unknown,Unknown,2010,Romance,
Godmother,1999,150,"Crime, Drama, Thriller",6.7,202,Vinay Shukla,Shabana Azmi,Milind Gunaji,Nirmal Pandey,1990,Crime,Good (6–8)
Gogola,1966,129,Sci-Fi,7.0,5,Balwant Dave,Azaad Irani,Nayam Palli,Polson,1960,Sci-Fi,Good (6–8)
Going Rogue,,140,"Action, Crime, Drama",,,Leon Rodriguez,Fabian Carrillo,Pepe Serna,Daniel Baldwin,,Action,
Gokul,1985,129,Drama,6.4,9,Arundhati Devi,Dipendra Acharya,Manoj Mitra,Tanuja,1980,Drama,Good (6–8)
Gokul Ka Chor,1959,129,Unknown,,,Vasant Phadke,Madhu Apte,Mohan Choti,Kumkum,1950,Unknown,
Gokul Ka Raja,1954,129,Drama,,,Bal Gajbar,Chandrakant,Dwarka Nath,Ratnamala,1950,Drama,
Gokula Krishna,2021,90,Animation,,,Murugan V.,Unknown,Unknown,Unknown,2020,Animation,
Gol Gattam,2017,81,"Comedy, Drama, Sport",,,Anuj Pandey,Ashay Vyas,Shardul Golwalkar,Taha Hussain,2010,Comedy,
Gol Nishan,1936,129,Unknown,,,Udwadia,Navinchandra,Gohar,Fakir Mohammad,1930,Unknown,
Gola Barood,1989,129,"Action, Crime, Drama",3.5,26,David Dhawan,Shatrughan Sinha,Kimi Katkar,Chunky Panday,1980,Action,Poor (<4)
GOLD,2018,151,"Drama, History, Sport",7.3,11932,Reema Kagti,Akshay Kumar,Mouni Roy,Kunal Kapoor,2010,Drama,Good (6–8)
Golden Bar,2004,112,Action,,,Ravi Kumar,Hemant Birje,Ali Khan,Umesh Kori,2000,Action,
Golden Boys,2007,129,Action,,,Ravi Varma,Jeet Goswami,Malini Kapoor,Yatin Karyekar,2000,Action,
Golden Eyes Secret Agent 077,1968,136,"Action, Crime, Mystery",6.3,12,Kamal Sharma,Mumtaz,Sailesh Kumar,B.M. Vyas,1960,Action,Good (6–8)
Golden Temple,1998,90,Documentary,,,Bhimsain,Unknown,Unknown,Unknown,1990,Documentary,
Golibar,1940,129,Action,,,Nanubhai Vakil,Navinchandra,Moti,Kanta Kumari,1940,Action,
Golimar,2010,160,"Action, Crime, Thriller",5.9,506,Puri Jagannadh,Tottempudi Gopichand,Priyamani,Roja,2010,Action,Average (4–6)
Gollu Aur Pappu,,112,Comedy,,,Kabir Sadanand,Dimple Kapadia,Deepak Tijori,Kunaal Roy Kapur,,Comedy,
Golmaal 3,2010,155,"Action, Comedy",5.5,7644,Rohit Shetty,Mithun Chakraborty,Ajay Devgn,Kareena Kapoor,2010,Action,Average (4–6)
Golmaal 5,,129,"Adventure, Comedy, Mystery",,,Rohit Shetty,Ajay Devgn,Kunal Khemu,Arshad Warsi,,Adventure,
Golmaal Again,2017,140,"Action, Comedy, Fantasy",5.0,8423,Rohit Shetty,Ajay Devgn,Arshad Warsi,Tabu,2010,Action,Average (4–6)
Golmaal Kids,2017,146,Comedy,,,Yogesh Varma,Kiran Janjani,Preeti Puri,Rahki Tondon,2010,Comedy,
Golmaal Returns,2008,135,"Comedy, Crime, Mystery",5.1,7236,Rohit Shetty,Ajay Devgn,Kareena Kapoor,Arshad Warsi,2000,Comedy,Average (4–6)
Golmaal: Fun Unlimited,2006,150,"Action, Comedy, Drama",7.4,15556,Rohit Shetty,Ajay Devgn,Arshad Warsi,Sharman Joshi,2000,Action,Good (6–8)
